id_transacao,data_emissao,data_vencimento,data_pagamento,status_pagamento,produto,cliente_segmento,canal_venda,risco_credito,valor_bruto,desconto,custo_operacional,data_referencia,lucro_liquido,Nome_mes,mes
192,2023-06-01,2023-07-01,2023-06-29,Pago,Seguro,PF,Online,Alto,1664.265,100.0,267.73,2023-07-01,1296.535,June,2023-06
193,2024-01-12,2024-02-11,,Em atraso,Seguro,PJ,Representante,Médio,1664.265,50.0,267.73,2024-02-11,1346.535,January,2024-01
194,2024-02-25,2024-03-26,2024-03-22,pago,Seguro,PF,Online,Alto,1664.265,50.0,394.55,2024-03-26,1219.7150000000001,February,2024-02
195,2023-09-12,,,Em atraso,Seguro,PJ,Representante,Alto,0.0,0.0,267.73,,0.0,September,2023-09
196,2023-06-30,,,pago,Seguro,PJ,Representante,Médio,16310.57,50.0,291.59,,15968.98,June,2023-06
197,2023-08-12,,,Em atraso,Consórcio,PF,Representante,Médio,0.0,100.0,487.45,,0.0,August,2023-08
198,2023-01-14,2023-02-13,,Vencido,Consórcio,PJ,Representante,Alto,0.0,100.0,267.73,2023-02-13,0.0,January,2023-01
199,2023-01-21,2023-04-21,2023-04-21,pago,Crédito Pessoal,PJ,Representante,Alto,1664.265,50.0,341.84,2023-04-21,1272.4250000000002,January,2023-01
200,2024-03-26,2024-05-25,2024-05-18,pago,Consórcio,PF,Online,Médio,1664.265,100.0,267.73,2024-05-25,1296.535,March,2024-03
201,2024-05-15,2024-06-14,,Vencido,Cartão de Crédito,PF,Representante,Médio,12961.06,100.0,285.83,2024-06-14,12575.23,May,2024-05
202,2023-09-16,2023-11-15,2023-11-13,pago,Cartão de Crédito,PF,Online,Alto,1664.265,0.0,54.83,2023-11-15,1609.4350000000002,September,2023-09
203,2023-06-07,2023-07-07,,Vencido,Crédito Pessoal,PF,Agência,Alto,10119.88,0.0,267.73,2023-07-07,9852.15,June,2023-06
204,2024-03-22,2024-05-21,,Em atraso,Financiamento,PF,Online,Baixo,10454.18,50.0,95.05,2024-05-21,10309.130000000001,March,2024-03
205,2024-04-30,,,pago,Consórcio,PJ,Agência,Médio,15441.2,0.0,209.23,,15231.970000000001,April,2024-04
206,2023-01-17,2023-04-17,2023-04-08,Pago,Consórcio,PJ,Online,Baixo,1856.66,50.0,267.73,2023-04-17,1538.93,January,2023-01
207,2023-10-26,2023-11-25,2023-11-25,pago,Crédito Pessoal,PF,Agência,Alto,15618.4,50.0,267.73,2023-11-25,15300.67,October,2023-10
208,2023-06-05,,,Vencido,Financiamento,PF,Representante,Médio,0.0,0.0,267.73,,0.0,June,2023-06
209,2024-03-24,,,Pago,Financiamento,PF,Representante,Alto,19881.08,0.0,267.73,,19613.350000000002,March,2024-03
210,2023-07-22,2023-10-20,2023-10-15,Pago,Seguro,PF,Online,Baixo,0.0,100.0,267.73,2023-10-20,0.0,July,2023-07
211,2023-10-11,2023-12-10,2023-12-07,pago,Seguro,PF,Representante,Baixo,0.0,50.0,203.64,2023-12-10,0.0,October,2023-10
212,2023-05-04,2023-07-03,2023-06-30,Pago,Seguro,PF,Agência,Alto,6960.79,50.0,267.73,2023-07-03,6643.0599999999995,May,2023-05
213,2023-07-12,2023-09-10,,Vencido,Financiamento,PJ,Agência,Alto,1664.265,50.0,267.73,2023-09-10,1346.535,July,2023-07
214,2023-10-28,2024-01-26,,Em atraso,Financiamento,PF,Online,Alto,1664.265,50.0,267.73,2024-01-26,1346.535,October,2023-10
215,2023-01-15,2023-03-16,,Vencido,Financiamento,PF,Representante,Médio,1664.265,0.0,348.24,2023-03-16,1316.025,January,2023-01
216,2023-02-04,2023-05-05,,Vencido,Crédito Pessoal,PF,Representante,Médio,1664.265,100.0,267.73,2023-05-05,1296.535,February,2023-02
217,2023-05-25,2023-08-23,2023-08-16,pago,Cartão de Crédito,PF,Online,Alto,1664.265,50.0,267.73,2023-08-23,1346.535,May,2023-05
218,2024-04-04,,,Pago,Financiamento,PJ,Representante,Baixo,1664.265,50.0,131.75,,1482.515,April,2024-04
219,2023-05-19,2023-07-18,2023-07-12,Pago,Financiamento,PJ,Agência,Alto,1287.96,50.0,267.73,2023-07-18,970.23,May,2023-05
220,2023-11-19,2024-01-18,,Em atraso,Seguro,PF,Representante,Baixo,1664.265,100.0,267.73,2024-01-18,1296.535,November,2023-11
221,2024-04-06,2024-05-06,2024-05-03,Pago,Financiamento,PJ,Online,Alto,17122.41,100.0,267.73,2024-05-06,16754.68,April,2024-04
222,2024-01-18,2024-03-18,,Vencido,Seguro,PJ,Representante,Baixo,0.0,50.0,354.46,2024-03-18,0.0,January,2024-01
223,2023-08-08,2023-10-07,2023-10-04,pago,Financiamento,PF,Agência,Médio,1664.265,100.0,294.77,2023-10-07,1269.4950000000001,August,2023-08
224,2024-05-08,2024-06-07,,Em atraso,Financiamento,PF,Representante,Médio,0.0,0.0,267.73,2024-06-07,0.0,May,2024-05
225,2023-12-10,,,Em atraso,Financiamento,PF,Representante,Alto,17728.84,50.0,110.03,,17568.81,December,2023-12
226,2023-10-28,2023-12-27,,Vencido,Financiamento,PF,Agência,Alto,15846.22,50.0,267.73,2023-12-27,15528.49,October,2023-10
227,2024-03-01,2024-04-30,2024-04-26,Pago,Crédito Pessoal,PF,Representante,Alto,0.0,50.0,267.73,2024-04-30,0.0,March,2024-03
228,2023-08-18,2023-09-17,,Em atraso,Cartão de Crédito,PF,Online,Baixo,0.0,100.0,267.73,2023-09-17,0.0,August,2023-08
229,2023-02-12,2023-05-13,,Vencido,Seguro,PF,Representante,Baixo,0.0,50.0,211.68,2023-05-13,0.0,February,2023-02
230,2023-11-26,2024-02-24,,Vencido,Crédito Pessoal,PF,Representante,Médio,16430.9,50.0,183.34,2024-02-24,16197.560000000001,November,2023-11
231,2024-05-07,2024-07-06,2024-07-02,Pago,Financiamento,PF,Representante,Alto,0.0,50.0,153.6,2024-07-06,0.0,May,2024-05
232,2023-10-10,2024-01-08,,Vencido,Consórcio,PF,Representante,Baixo,6212.68,0.0,267.73,2024-01-08,5944.950000000001,October,2023-10
233,2023-08-05,,,Em atraso,Financiamento,PF,Agência,Médio,1664.265,0.0,267.73,,1396.535,August,2023-08
234,2023-02-15,2023-03-17,2023-03-10,pago,Crédito Pessoal,PF,Representante,Médio,1664.265,100.0,177.47,2023-03-17,1386.795,February,2023-02
235,2023-09-21,,,Vencido,Financiamento,PJ,Representante,Baixo,1849.13,50.0,267.73,,1531.4,September,2023-09
236,2023-10-18,2023-12-17,2023-12-16,pago,Seguro,PF,Agência,Alto,1664.265,50.0,482.82,2023-12-17,1131.4450000000002,October,2023-10
237,2024-02-20,2024-03-21,,Vencido,Cartão de Crédito,PJ,Agência,Alto,0.0,50.0,439.37,2024-03-21,0.0,February,2024-02
238,2024-03-10,2024-05-09,,Em atraso,Financiamento,PF,Representante,Alto,0.0,0.0,212.0,2024-05-09,0.0,March,2024-03
239,2023-10-17,,,pago,Financiamento,PF,Online,Médio,6748.71,50.0,267.73,,6430.98,October,2023-10
240,2023-11-29,2023-12-29,,Em atraso,Financiamento,PF,Representante,Médio,0.0,50.0,293.55,2023-12-29,0.0,November,2023-11
241,2024-01-12,2024-02-11,2024-02-01,pago,Consórcio,PF,Online,Baixo,0.0,50.0,267.73,2024-02-11,0.0,January,2024-01
242,2023-10-06,2023-12-05,,Em atraso,Cartão de Crédito,PF,Online,Alto,14206.93,50.0,267.73,2023-12-05,13889.2,October,2023-10
243,2023-01-22,2023-02-21,,Em atraso,Seguro,PF,Agência,Baixo,11654.73,50.0,267.73,2023-02-21,11337.0,January,2023-01
244,2023-03-28,2023-06-26,,Vencido,Cartão de Crédito,PF,Agência,Alto,1664.265,0.0,267.73,2023-06-26,1396.535,March,2023-03
245,2024-01-05,,,Pago,Cartão de Crédito,PF,Representante,Baixo,0.0,0.0,65.37,,0.0,January,2024-01
246,2023-05-11,2023-08-09,,Em atraso,Crédito Pessoal,PF,Representante,Baixo,17440.02,50.0,267.73,2023-08-09,17122.29,May,2023-05
247,2023-04-05,2023-06-04,,Vencido,Financiamento,PF,Representante,Alto,1664.265,50.0,476.94,2023-06-04,1137.325,April,2023-04
248,2023-01-13,2023-04-13,,Em atraso,Crédito Pessoal,PF,Agência,Alto,0.0,0.0,429.33,2023-04-13,0.0,January,2023-01
249,2023-12-21,,,pago,Cartão de Crédito,PJ,Agência,Alto,1664.265,0.0,452.29,,1211.9750000000001,December,2023-12
250,2023-04-19,2023-06-18,,Vencido,Seguro,PJ,Representante,Baixo,0.0,50.0,267.73,2023-06-18,0.0,April,2023-04
251,2023-06-20,2023-08-19,2023-08-16,Pago,Financiamento,PF,Agência,Alto,1664.265,0.0,222.99,2023-08-19,1441.275,June,2023-06
252,2023-09-14,2023-12-13,,Vencido,Crédito Pessoal,PF,Online,Médio,1664.265,50.0,398.43,2023-12-13,1215.835,September,2023-09
253,2023-07-05,2023-10-03,,Em atraso,Cartão de Crédito,PJ,Representante,Médio,21858.49,0.0,267.73,2023-10-03,21590.760000000002,July,2023-07
254,2023-06-21,2023-07-21,,Vencido,Financiamento,PF,Representante,Médio,0.0,100.0,111.03,2023-07-21,0.0,June,2023-06
255,2024-03-31,,,pago,Financiamento,PF,Online,Médio,1664.265,100.0,267.73,,1296.535,March,2024-03
256,2023-05-10,2023-08-08,2023-08-05,Pago,Cartão de Crédito,PF,Representante,Alto,14708.61,50.0,267.73,2023-08-08,14390.880000000001,May,2023-05
257,2024-01-05,2024-02-04,2024-01-30,pago,Consórcio,PF,Agência,Alto,0.0,100.0,156.61,2024-02-04,0.0,January,2024-01
258,2023-04-22,2023-05-22,2023-05-15,pago,Consórcio,PF,Online,Médio,1664.265,100.0,158.78,2023-05-22,1405.4850000000001,April,2023-04
259,2024-05-08,2024-07-07,2024-07-06,Pago,Financiamento,PF,Agência,Alto,1664.265,100.0,291.62,2024-07-07,1272.645,May,2024-05
260,2023-11-24,2024-02-22,2024-02-19,Pago,Seguro,PJ,Representante,Médio,1664.265,0.0,267.73,2024-02-22,1396.535,November,2023-11
261,2024-02-12,2024-03-13,2024-03-03,Pago,Cartão de Crédito,PJ,Online,Baixo,0.0,50.0,267.73,2024-03-13,0.0,February,2024-02
262,2023-01-29,,,Vencido,Financiamento,PF,Online,Alto,4169.96,50.0,267.73,,3852.23,January,2023-01
263,2023-06-26,2023-08-25,,Vencido,Seguro,PF,Representante,Alto,1664.265,100.0,267.73,2023-08-25,1296.535,June,2023-06
264,2023-09-25,2023-12-24,,Em atraso,Crédito Pessoal,PF,Representante,Médio,1664.265,50.0,495.29,2023-12-24,1118.9750000000001,September,2023-09
265,2023-07-25,2023-08-24,2023-08-15,Pago,Consórcio,PF,Representante,Alto,3613.33,50.0,381.92,2023-08-24,3181.41,July,2023-07
266,2024-03-21,2024-05-20,2024-05-15,Pago,Seguro,PF,Representante,Alto,19519.2,50.0,267.73,2024-05-20,19201.47,March,2024-03
267,2024-02-09,2024-03-10,2024-02-29,Pago,Cartão de Crédito,PF,Agência,Alto,18414.63,50.0,267.73,2024-03-10,18096.9,February,2024-02
268,2024-04-28,2024-06-27,2024-06-23,Pago,Financiamento,PF,Representante,Médio,1664.265,50.0,267.73,2024-06-27,1346.535,April,2024-04
269,2023-11-26,2024-02-24,,Vencido,Consórcio,PF,Representante,Alto,0.0,50.0,479.42,2024-02-24,0.0,November,2023-11
270,2024-02-26,2024-05-26,,Vencido,Financiamento,PF,Representante,Alto,2484.29,50.0,145.43,2024-05-26,2288.86,February,2024-02
271,2024-03-28,2024-05-27,,Vencido,Seguro,PF,Representante,Baixo,0.0,50.0,412.26,2024-05-27,0.0,March,2024-03
272,2024-05-13,2024-06-12,,Em atraso,Crédito Pessoal,PF,Representante,Alto,22816.7,100.0,267.73,2024-06-12,22448.97,May,2024-05
273,2023-11-25,,,Vencido,Financiamento,PF,Online,Baixo,24497.36,50.0,110.67,,24336.690000000002,November,2023-11
274,2023-10-22,,,Pago,Crédito Pessoal,PF,Online,Alto,18294.06,100.0,267.73,,17926.33,October,2023-10
275,2023-01-02,2023-03-03,,Em atraso,Consórcio,PJ,Representante,Baixo,17229.15,0.0,207.25,2023-03-03,17021.9,January,2023-01
276,2024-03-12,2024-05-11,2024-05-07,Pago,Cartão de Crédito,PF,Online,Médio,17678.49,100.0,267.73,2024-05-11,17310.760000000002,March,2024-03
277,2024-02-09,2024-05-09,,Vencido,Seguro,PF,Representante,Alto,1664.265,0.0,267.73,2024-05-09,1396.535,February,2024-02
278,2023-07-24,,,Vencido,Seguro,PJ,Representante,Médio,0.0,50.0,454.14,,0.0,July,2023-07
279,2023-05-03,2023-08-01,2023-07-29,pago,Crédito Pessoal,PF,Online,Baixo,1664.265,0.0,267.73,2023-08-01,1396.535,May,2023-05
280,2023-12-17,,,Vencido,Seguro,PF,Representante,Alto,1664.265,0.0,267.73,,1396.535,December,2023-12
281,2023-05-01,,,Vencido,Consórcio,PF,Representante,Baixo,0.0,100.0,333.01,,0.0,May,2023-05
282,2024-04-18,2024-07-17,,Vencido,Consórcio,PF,Representante,Médio,0.0,100.0,499.74,2024-07-17,0.0,April,2024-04
283,2024-04-19,2024-07-18,,Em atraso,Financiamento,PF,Representante,Médio,0.0,50.0,338.24,2024-07-18,0.0,April,2024-04
284,2023-06-14,,,Vencido,Seguro,PF,Representante,Alto,0.0,0.0,267.73,,0.0,June,2023-06
285,2023-12-06,2024-03-05,2024-02-24,pago,Seguro,PF,Online,Alto,0.0,100.0,335.59,2024-03-05,0.0,December,2023-12
286,2024-01-24,2024-03-24,2024-03-14,Pago,Consórcio,PJ,Representante,Alto,0.0,50.0,163.79,2024-03-24,0.0,January,2024-01
287,2023-01-01,2023-04-01,2023-03-23,Pago,Cartão de Crédito,PJ,Agência,Alto,1664.265,100.0,425.36,2023-04-01,1138.9050000000002,January,2023-01
288,2023-09-26,,,Pago,Consórcio,PJ,Online,Alto,0.0,100.0,219.08,,0.0,September,2023-09
289,2023-12-31,2024-03-30,2024-03-24,pago,Financiamento,PJ,Agência,Médio,0.0,100.0,267.73,2024-03-30,0.0,December,2023-12
290,2023-02-02,2023-04-03,,Vencido,Seguro,PJ,Representante,Alto,21546.42,50.0,471.09,2023-04-03,21025.329999999998,February,2023-02
291,2023-02-25,,,pago,Seguro,PF,Online,Alto,0.0,50.0,228.93,,0.0,February,2023-02
292,2023-09-20,2023-10-20,,Em atraso,Cartão de Crédito,PF,Representante,Alto,0.0,0.0,396.45,2023-10-20,0.0,September,2023-09
293,2023-02-16,2023-04-17,2023-04-08,Pago,Crédito Pessoal,PF,Representante,Baixo,20491.75,50.0,420.8,2023-04-17,20020.95,February,2023-02
294,2023-12-31,2024-03-30,2024-03-30,pago,Consórcio,PF,Representante,Baixo,1664.265,50.0,442.37,2024-03-30,1171.895,December,2023-12
295,2023-06-14,2023-09-12,,Em atraso,Consórcio,PJ,Representante,Baixo,13100.01,50.0,267.73,2023-09-12,12782.28,June,2023-06
296,2023-12-06,2024-03-05,2024-02-26,pago,Cartão de Crédito,PJ,Agência,Alto,1664.265,0.0,267.73,2024-03-05,1396.535,December,2023-12
297,2023-06-06,2023-08-05,,Em atraso,Seguro,PF,Representante,Médio,1664.265,100.0,267.73,2023-08-05,1296.535,June,2023-06
298,2023-04-13,,,Pago,Seguro,PF,Representante,Baixo,18312.71,0.0,267.73,,18044.98,April,2023-04
299,2023-05-30,2023-07-29,,Em atraso,Seguro,PF,Representante,Médio,1664.265,50.0,445.13,2023-07-29,1169.1350000000002,May,2023-05
300,2023-04-03,,,Pago,Financiamento,PF,Agência,Alto,1509.39,50.0,267.73,,1191.66,April,2023-04
